Cmdline: /system/bin/simpleperf record --app com.example.openxcpro.debug --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 --add-meta-info app_type=debuggable -f 400 --duration 95
Arch: arm64
Event: cpu-cycles (type 0, config 0)
Samples: 63564
Event count: 255784272155

Overhead  Sample  Command                      Pid    Tid    Shared Object                                                                                                                     Symbol
0.20%     100     com.example.openxcpro.debug  15948  15948  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                    __memset_aarch64
0.20%     103     com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             art::interpreter::GetFieldInfo(art::Thread*, art::ShadowFrame&, unsigned short const*, bool, bool, art::ArtField**, bool*, art::MemberOffset*) (.__uniq.113072803961313432437294106468273961305)
0.20%     97      com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             art::ArtMethod* art::FindMethodToCall<(art::InvokeType)4>(art::Thread*, art::ArtMethod*, art::ObjPtr<art::mirror::Object>*, art::Instruction const&, bool, bool*)
0.20%     115     com.example.openxcpro.debug  15948  15948  [JIT app cache]                                                                                                                   kotlin.jvm.internal.Intrinsics.areEqual
0.19%     92      com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             art::interpreter::ArtInterpreterToInterpreterBridge(art::Thread*, art::CodeItemDataAccessor const&, art::ShadowFrame*, art::JValue*)
0.19%     106     RenderThread 20              15948  16067  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                    __aarch64_cas4_acq
0.19%     133     Jit thread pool              15948  15955  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                    __aarch64_cas4_acq
0.19%     98      RenderThread                 15948  15978  /vendor/lib64/egl/libGLESv2_adreno.so                                                                                             !!!0000!9d2340256df89912f04e05d7f782e6!0c393b63cf!
0.19%     111     RenderThread 20              15948  16067  /vendor/lib64/egl/libGLESv2_adreno.so                                                                                             !!!0000!5dfb513fe44989afdd107d4d4d6569!0c393b63cf!
0.18%     107     com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             art::jit::Jit::MaybeEnqueueCompilation(art::ArtMethod*, art::Thread*)
0.17%     102     RenderThread 20              15948  16067  /vendor/lib64/egl/libGLESv2_adreno.so                                                                                             !!!0000!325eecd4b75f86b12ebfefb45dece7!0c393b63cf!
0.17%     116     Jit thread pool              15948  15955  /apex/com.android.art/lib64/libart.so                                                                                             __aarch64_cas4_acq
0.17%     97      com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             __aarch64_cas4_rel
0.17%     93      DefaultDispatch              15948  15998  /apex/com.android.art/lib64/libart.so                                                                                             artQuickToInterpreterBridge
0.16%     90      com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             art::Mutex::ExclusiveUnlock(art::Thread*)
0.16%     88      com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             art::StackVisitor::GetDexPc(bool) const
0.15%     87      RenderThread 20              15948  16067  /vendor/lib64/egl/libGLESv2_adreno.so                                                                                             !!!0000!fd7498413de80da11b66fb6ac2c9ef!0c393b63cf!
0.15%     86      com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             art_quick_to_interpreter_bridge
0.15%     77      com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             art::ClassLinker::FindClass(art::Thread*, char const*, unsigned long, art::Handle<art::mirror::ClassLoader>)
0.15%     89      RenderThread 20              15948  16067  /data/app/~~NwAT2SQ4078dynu9RtmJjA==/com.example.openxcpro.debug-ZxHze3utdOz5ZfC_AdjxVg==/base.apk!/lib/arm64-v8a/libmaplibre.so  libmaplibre.so[+6684bc]
0.15%     82      com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             art::jni::LocalReferenceTable::Add(art::ObjPtr<art::mirror::Object>, std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >*)
0.15%     86      RenderThread 20              15948  16067  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                    __memcmp_aarch64
0.15%     64      RenderThread 20              15948  16067  /data/app/~~NwAT2SQ4078dynu9RtmJjA==/com.example.openxcpro.debug-ZxHze3utdOz5ZfC_AdjxVg==/base.apk!/lib/arm64-v8a/libmaplibre.so  libmaplibre.so[+6c6158]
0.14%     60      DefaultDispatch              15948  15998  /apex/com.android.art/lib64/libart.so                                                                                             art::jit::Jit::MaybeDoOnStackReplacement(art::Thread*, art::ArtMethod*, unsigned int, int, art::JValue*)
0.14%     92      DefaultDispatch              15948  15998  /apex/com.android.art/lib64/libart.so                                                                                             art::JniDecodeReferenceResult(_jobject*, art::Thread*)
0.14%     118     DefaultDispatch              15948  15998  /apex/com.android.art/lib64/libart.so                                                                                             void art::StackVisitor::WalkStack<(art::StackVisitor::CountTransitions)0>(bool)
0.14%     75      com.example.openxcpro.debug  15948  15948  [JIT app cache]                                                                                                                   kotlinx.coroutines.DispatchedTask.run
0.13%     99      Jit thread pool              15948  15955  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                    scudo::Allocator<scudo::AndroidNormalConfig, &(scudo_malloc_postinit)>::allocate(unsigned long, scudo::Chunk::Origin, unsigned long, bool)
0.13%     70      com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             art::(anonymous namespace)::ScopedCheck::Check(art::ScopedObjectAccess&, bool, char const*, art::(anonymous namespace)::JniValueType*) (.__uniq.99033978352804627313491551960229047428)
0.13%     79      com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             artQuickGenericJniEndTrampoline
0.13%     70      DefaultDispatch              15948  15998  /apex/com.android.art/lib64/libart.so                                                                                             void art::interpreter::ExecuteSwitchImplCpp<false>(art::interpreter::SwitchImplContext*)
0.13%     69      com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             art::Thread::ObserveAsyncException()
0.13%     69      RenderThread                 15948  15978  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                    scudo::Allocator<scudo::AndroidNormalConfig, &(scudo_malloc_postinit)>::allocate(unsigned long, scudo::Chunk::Origin, unsigned long, bool)
0.13%     73      com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             art_quick_alloc_object_initialized_tlab
0.12%     68      com.example.openxcpro.debug  15948  15948  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                    scudo::Allocator<scudo::AndroidNormalConfig, &(scudo_malloc_postinit)>::allocate(unsigned long, scudo::Chunk::Origin, unsigned long, bool)
0.12%     85      Jit thread pool              15948  15955  /apex/com.android.art/lib64/libart.so                                                                                             art::jit::JitCompileTask::Finalize()
0.12%     69      RenderThread                 15948  15978  /system/lib64/libhwui.so                                                                                                          android::uirenderer::RenderNode::prepareTreeImpl(android::uirenderer::TreeObserver&, android::uirenderer::TreeInfo&, bool)
0.12%     62      com.example.openxcpro.debug  15948  15948  /apex/com.android.art/lib64/libart.so                                                                                             bool art::interpreter::DoCall<true>(art::ArtMethod*, art::Thread*, art::ShadowFrame&, art::Instruction const*, unsigned short, bool, art::JValue*)
0.12%     66      com.example.openxcpro.debug  15948  15948  [JIT app cache]                                                                                                                   java.util.concurrent.atomic.AtomicReferenceFieldUpdater$AtomicReferenceFieldUpdaterImpl.get
0.12%     17      HeapTaskDaemon               15948  15956  /apex/com.android.art/lib64/libart.so                                                                                             art::gc::collector::MarkCompact::MarkRoots(art::VisitRootFlags)
0.12%     65      Jit thread pool              15948  15955  /apex/com.android.art/lib64/libart.so                                                                                             art::RegisterAllocationResolver::Resolve(art::ArrayRef<art::HInstruction* const>, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, art::ArrayRef<art::LiveInterval* const>)
0.11%     77      Jit thread pool              15948  15955  /apex/com.android.art/lib64/libart.so                                                                                             __aarch64_cas4_rel
0.11%     83      Jit thread pool              15948  15955  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                    scudo::Allocator<scudo::AndroidNormalConfig, &(scudo_malloc_postinit)>::quarantineOrDeallocateChunk(scudo::Options const&, void*, scudo::Chunk::UnpackedHeader*, unsigned long)
